ID,Title,Year,Year_Range,PrincipalName,PrincipalAffiliationName,Institution_Type,Institution_Sub,CenterName,FundTypeDesc,ProgramName,GoalText,Goal_3_v_4,AwardAmt,AwardPer,AwardNum,Status_Now,
851,Professional Development to Support and Sustain a Classroom Behavior Management Strategy,2009,2007-2011,"Poduska, Jeanne",American Institutes for Research (AIR),Firm,Large,NCER,Grant,Social and Behavioral Context for Academic Learning,Efficacy and Replication,3,"$3,391,254",4 years,R305A090446,Completed,
1115,Assessing the Efficacy of Online Credit Recovery in Algebra I for At-Risk Ninth Graders,2011,2007-2011,"Heppen, Jessica",American Institutes for Research (AIR),Firm,Large,NCER,Grant,Improving Education Systems,Efficacy and Replication,3,"$3,084,374",4 years,R305A110149,Completed,
1147,Assessing the Efficacy of Check & Connect for Improving Outcomes for At-Risk High School Students,2011,2007-2011,"Heppen, Jessica",American Institutes for Research (AIR),Firm,Large,NCER,Grant,Social and Behavioral Context for Academic Learning,Efficacy and Replication,3,"$3,209,567",4 years,R305A110252,Completed,
1717,An Efficacy Trial of the HighScope Preschool Curriculum (HSPC),2015,2012-2016,"Howard, Eboni",American Institutes for Research (AIR),Firm,Large,NCER,Grant,Early Learning Programs and Policies,Efficacy and Replication,3,"$3,405,790",4 years (7/1/2015-6/30/2019),R305A150049,Completed,
1864,AIR Early College Follow-Up Efficacy Study,2016,2012-2016,"Song, Mengli",American Institutes for Research (AIR),Firm,Large,NCER,Grant,Postsecondary and Adult Education,Efficacy and Replication,3,"$630,139",2 1/4 years (9/1/2016-12/31/20,R305A160140,In field,
1868,"Alignment, Timing and Support: The Effect of Early Intervention on Student College Readiness",2016,2012-2016,"Xu, Zeyu",American Institutes for Research (AIR),Firm,Large,NCER,Grant,Improving Education Systems,Efficacy and Replication,3,"$1,839,252",5 years (7/1/2016-6/30/2021),R305A160188,In field,
1888,A Multisite Randomized Controlled Trial (RCT) of Descubriendo la Lectura (DLL) Topic Area: English learners,2016,2012-2016,"Borman, Trisha",American Institutes for Research (AIR),Firm,Large,NCER,Grant,English Learners,Efficacy and Replication,3,"$2,918,455",4 years (7/1/2016-6/30/2020),R305A160060,In field,
2008,Evaluating the Effectiveness of ASSISTments for Improving Math Achievement,2017,2017-2019,"Walters, Kirk",American Institutes for Research (AIR),Firm,Large,NCER,Grant,Education Technology,Effectiveness,4,"$3,799,617",5 years (07/01/2017-06/30/2022),R305A170243,In field,
1754,An Experimental Evaluation of Corequisite Developmental Education in Texas,2017,2017-2019,"Miller, Trey",American Institutes for Research (AIR),Firm,Large,NCER,Grant,Evaluation of State and Local Education Programs and Policies,Efficacy,3,"$4,500,000",3 years (09/22/2017-08/31/2020),R305H170085,In field,
1967,An Evaluation of the New Graduation Requirements in Texas,2017,2017-2019,"Mellor, Lynn",American Institutes for Research (AIR),Firm,Large,NCER,Grant,Evaluation of State and Local Education Programs and Policies,Efficacy,3,"$2,790,413",5 years (07/01/2017 - 06/30/2022),R305H170006,In field,
1934,"An Efficacy Study of Multi-Tiered Academic, Social, Emotional, and Behavioral Supports in High-Need, Urban Middle Schools",2017,2017-2019,"Osher, David",American Institutes for Research (AIR),Firm,Large,NCER,Grant,Social and Behavioral Context for Academic Learning,Efficacy and Replication,3,"$3,282,555",4 years (9/1/2017-12/31/2021),R305A170227,In field,
1993,Efficacy of a Targeted Shared Book Reading Intervention for Children Who Meet Screening Criteria in Pre-K,2017,2017-2019,"Buysse, Virginia",American Institutes for Research (AIR),Firm,Large,NCER,Grant,Early Learning Programs and Policies,Efficacy and Replication,3,"$3,298,329",5 years (07/01/2017-06/30/2022),R305A170064,In field,
2025,Assessing the Efficacy of Online Credit Recovery on Student Learning and High School Graduation,2017,2017-2019,"Heppen, Jessica",American Institutes for Research (AIR),Firm,Large,NCER,Grant,Improving Education Systems,Efficacy and Replication,3,"$3,256,848",5 years (07/01/2017 - 06/30/2022),R305A170152,In field,
2074,National Board Certification Efficacy Study,2017,2017-2019,"Manzeske, David",American Institutes for Research (AIR),Firm,Large,NCER,Grant,Effective Instruction,Efficacy and Replication,3,"$2,989,187",4 years (08/01/2017–07/31/2021),R305A170131,Not completed,Project ended early due to recruitment challenges
2143,Reducing Achievement Gaps at Scale Through a Brief Self-Affirmation Intervention,2018,2017-2019,"Borman, Trisha",American Institutes for Research (AIR),Firm,Large,NCER,Grant,Improving Education Systems,Effectiveness,4,"$3,681,819",5 years (07/01/2018 - 06/30/2023),R305A180230,In field,
2185,A Longitudinal Efficacy Study of the Montessori Preschool Model on Academic and Social-Emotional Outcomes,2018,2017-2019,"Faria, Ann-Marie",American Institutes for Research (AIR),Firm,Large,NCER,Grant,Early Learning Programs and Policies,Efficacy and Replication,3,"$3,294,232",5 years (08/01/2018 - 07/31/2023),R305A180181,In field,
2198,Efficacy Replication Study of the Impact of MyTeachingPartner-Secondary (MTP-S),2018,2017-2019,"Wayne, Andrew",American Institutes for Research (AIR),Firm,Large,NCER,Grant,Effective Instruction,Efficacy and Replication,3,"$3,299,812",4 years (07/01/2018 - 06/30/2022),R305A180241,In field,
2203,Promoting School Belongingness and Academic Performance: A Multisite Replication Trial of a Scalable Student Mindset Intervention,2018,2017-2019,"Borman, Trisha",American Institutes for Research (AIR),Firm,Large,NCER,Grant,Social and Behavioral Context for Academic Learning,Efficacy and Replication,3,"$2,811,594",4 years (07/01/2018 - 06/30/2022),R305A180220,In field,
3265,Reducing Summer Melt: Text Messaging Effectiveness,2019,2017-2019,"LiCalsi, Christina",American Institutes for Research (AIR),Firm,Large,NCER,Grant,Postsecondary and Adult Education,Replication Effectiveness,4,"$3,701,339",5 years (07/01/2019 - 06/30/2024),R305A190074,In field,
1570,An Evaluation of the SOURCE (Student Outreach for College Enrollment) Program: An Intervention to Promote College Application and Enrollment Among Urban Youth,2005,2002-2006,"Chin, Tiffani",Berkeley Policy Associates,Firm,Small,NCER,Grant,Field Initiated Evaluations of Education Innovations,Efficacy and Replication,3,"$1,495,657",5 years (7/1/2005-6/30/2010),R305F050274,Completed,
609,Evaluation of the SOURCE Program: An Intervention to Promote College Application and Enrollment Among Urban Youth - Primary Outcomes,2008,2007-2011,"Bos, Johannes",Berkeley Policy Associates,Firm,Small,NCER,Grant,Postsecondary and Adult Education,Efficacy and Replication,3,"$362,065",2 years,R305A080066,Completed,
103,Measuring the Efficacy and Student Achievement of Research-based Instructional Materials in High School Multidisciplinary Science,2006,2002-2006,"Taylor, Joseph A.",Biological Sciences Curriculum Study,Firm,Small,NCER,Grant,"Science, Technology, Engineering, and Mathematics (STEM) Education",Efficacy and Replication,3,"$2,907,563",4 years,R305K060142,Completed,
1402,My Science Tutor: Improving Science Learning through Tutorial Dialogs (MyST),2013,2012-2016,"Ward, Wayne",Boulder Language Technologies Inc.,Firm,Small,NCER,Grant,Cognition and Student Learning,Efficacy and Replication,3,"$3,499,713",4 years (6/1/2013-05/31/2017),R305A130206,Completed,
1827,Efficacy Study of the Universally Designed Science Notebook: An Intervention to Support All Students' Elementary School Science Learning,2016,2012-2016,"Blackorby, Jose","CAST, Inc.",Firm,Small,NCSER,Grant,"Science, Technology, Engineering, and Mathematics",Efficacy and Replication,3,"$3,499,937",4 years (7/1/2016-6/30/2020),R324A160008,In field,
3324,Project Citizen Research Program,2019,2017-2019,"Quigley, Charles",Center for Civic Education,Firm,Center/Institute,NCER,Grant,Social Studies,Efficacy,3,"$3,299,888",3 years (09/01/19–08/31/22),R305A190360,In field,
1577,Evaluation of Writing Wings: Writing Instruction for Disadvantaged Elementary School Children,2005,2002-2006,"Puma, Michael","Chesapeake Research Associates, LLC",Firm,Small,NCER,Grant,Field Initiated Evaluations of Education Innovations,Efficacy and Replication,3,"$1,198,876",3 years (7/1/2005-6/30/2008),R305F050117,Completed,
309,Promoting Alternative Thinking Strategies,2003,2002-2006,"Johnson, Deborah",Children's Institute,Firm,Center/Institute,NCER,Grant,Social and Character Development,Efficacy and Replication,3,"$1,800,000",4 years,R305L030165,Completed,
1020,Using Data to Inform Decisions: How Teachers Use Data to Inform Practice and Improve Student Performance in Mathematics,2010,2007-2011,"Cavalluzzo, Linda",CNA Corp.,Firm,Small,NCER,Grant,Effective Instruction,Efficacy and Replication,3,"$3,386,940",4 years,R305A100445,Not completed,Project ended early due to recruitment challenges
1337,Assessment of the Florida College and Career Readiness Initiative,2012,2012-2016,"Mokher, Christine",CNA Corp.,Firm,Small,NCER,Grant,Evaluation of State and Local Education Programs and Policies,Efficacy,3,"$4,687,046",5 years (7/1/2012-1/31/2017),R305E120010,Completed,
1158,Promoting College Enrollment among Disadvantaged Students: A Randomized Controlled Trial of Two Low-Cost Interventions,2011,2007-2011,"Chin, Tiffani",EdBoost Education Corporation,Firm,Small,NCER,Grant,Postsecondary and Adult Education,Efficacy and Replication,3,"$2,977,301",4 years,R305A110809,Completed,
117,An Examination of the Impact of Big Math for Little Kids on Pre-K and Kindergarten Students' Learning of Math,2004,2002-2006,"Clements, Margaret","Education Development Center, Inc.",Firm,Large,NCER,Grant,"Science, Technology, Engineering, and Mathematics (STEM) Education",Efficacy and Replication,3,"$1,952,626",3 years,R305K040001,Completed,
332,Examining the Efficacy of Two Models of Preschool Professional Development in Language and Literacy,2005,2002-2006,"Clark-Chiarelli, Nancy","Education Development Center, Inc.",Firm,Large,NCER,Grant,Effective Instruction,Efficacy and Replication,3,"$2,834,272",4 years,R305M050072,Completed,
629,National Research & Development Center on Instructional Technology: Possible Worlds,2008,2007-2011,"Brunner, Cornelia","Education Development Center, Inc.",Firm,Large,NCER,Grant,Education Research and Development Centers,Multiple Goals,Multiple,"$9,197,582",5 years,R305C080022,Completed,
739,Assessing the Efficacy of a Comprehensive Intervention in Physical Science on Head Start Teachers and Children,2009,2007-2011,"Clark-Chiarelli, Nancy","Education Development Center, Inc.",Firm,Large,NCER,Grant,Early Learning Programs and Policies,Efficacy and Replication,3,"$2,999,841",4 years,R305A090114,Completed,
842,Responding to the National Crisis in Writing: An Efficacy Study of an Elementary Grades Writing Program,2009,2007-2011,"Kotula, Andrea","Education Development Center, Inc.",Firm,Large,NCER,Grant,Reading and Writing,Efficacy and Replication,3,"$2,235,330",4 years,R305A090479,Completed,
1516,Math for All: Assessing the Efficacy of a Professional Development Program for Elementary School Teachers,2014,2012-2016,"Moeller, Babette","Education Development Center, Inc.",Firm,Large,NCER,Grant,Effective Instruction,Efficacy and Replication,3,"$3,499,692",4 years (7/1/2014–6/30/2018),R305A140488,Completed,
1033,An Efficacy Study of Project GLAD,2010,2007-2011,"Deussen, Theresa",Education Northwest,Firm,Large,NCER,Grant,English Learners,Efficacy and Replication,3,"$2,878,385",4 years,R305A100583,Completed,
345,Mastering Reading Instruction: A Professional Development Project for First Grade Teachers,2003,2002-2006,"Brady, Susan",Haskins Laboratories,Firm,Small,NCER,Grant,Effective Instruction,Efficacy and Replication,3,"$2,912,063",4 years,R305M030099,Completed,
1189,Numbers Plus Efficacy Study,2011,2007-2011,"Schweinhart, Larry",High/Scope Educational Research Foundation,Firm,Center/Institute,NCER,Grant,Early Learning Programs and Policies,Efficacy and Replication,3,"$2,102,024",4 years,R305A110483,Completed,
852,Impact of Teacher Study Groups as Observed Teaching Practice and Student Vocabulary Knowledge: A Multi-Site Randomized Control Trial in First Grade,2009,2007-2011,"Gersten, Russell",Instructional Research Group,Firm,Small,NCER,Grant,Effective Instruction,Efficacy and Replication,3,"$2,713,610",3.5 years 7/1/2009-12/31/2012,R305A090294,Completed,
1737,Testing the Effectiveness of Professional Development in Academic Vocabulary on Observed Teaching Practice and Academic Vocabulary Knowledge of English Learners in 8th Grade Social Studies Classrooms,2015,2012-2016,"Gersten, Russell",Instructional Research Group,Firm,Small,NCER,Grant,Effective Instruction,Efficacy and Replication,3,"$3,475,429",4 years (7/1/15-6/30/19),R305A150463,Completed,
1691,"Evaluation of We Have Skills, A Multimedia Classroom Level Social Skills Program for Elementary Students",2015,2012-2016,"Wendt, Adam","IRIS Media, Inc.",Firm,Small,NCER,Grant,Social and Behavioral Context for Academic Learning,Efficacy and Replication,3,"$3,499,726",4 years (7/1/2015-6/30/2019),R305A150046,Completed,
821,A Proposal to Measure the Impact of Indiana's System of Diagnostic Assessments on Student Achievement Outcomes,2009,2007-2011,"Miller, Shazia",Learning Point Associates,Firm,Large,NCER,Grant,Evaluation of State and Local Education Programs and Policies,Efficacy,3,"$3,332,675",4 years,R305E090005,Completed,
491,A Randomized Efficacy Trial of Academically Enhanced Rigorous Career Academies: Studying the Impact of the National Academy Foundation (NAF) Model,2007,2007-2011,"Kemple, James",MDRC,Firm,Large,NCER,Grant,Improving Education Systems,Efficacy and Replication,3,"$2,996,259",4 years,R305B070702,Completed,
819,Evaluation of Ninth Grade Academies in Broward County Public Schools,2009,2007-2011,"Black, Alison",MDRC,Firm,Large,NCER,Grant,Evaluation of State and Local Education Programs and Policies,Efficacy,3,"$4,827,957",5 years,R305E090019,Completed,
